flight_id,airline,source,destination,departure_time,arrival_time,duration,row_ref,reason_codes,is_valid,validation_status,hard_reasons,route_to_quarantine,airline_quality_flag,route,arrival_time_adjusted,duration_minutes,is_overnight,duration_status,anomaly_flag,flight_key
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,0,[],True,VALID,[],False,OK,CCU -> MAA,2026-04-21 02:32:41.701,174.0,True,VALID,NORMAL,FK00001
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,1,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 01:23:41.703,108.0,True,VALID,NORMAL,FK00002
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,2,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 01:11:41.702,105.0,True,VALID,NORMAL,FK00003
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,3,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 01:43:41.704,156.0,True,VALID,NORMAL,FK00004
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,4,[],True,VALID,[],False,OK,MAA -> BOM,2026-04-21 04:04:41.703,299.0,True,VALID,NORMAL,FK00005
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,5,[],True,VALID,[],False,OK,DEL -> HYD,2026-04-21 01:24:41.703,139.0,True,VALID,NORMAL,FK00006
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,6,[],True,VALID,[],False,OK,CCU -> MAA,2026-04-21 00:47:41.703,103.0,True,VALID,NORMAL,FK00007
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,7,[],True,VALID,[],False,OK,BOM -> HYD,2026-04-21 00:35:41.702,92.0,True,VALID,NORMAL,FK00008
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,8,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-20 23:57:41.701,55.0,False,VALID,NORMAL,FK00009
6F251,Unknown,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,9,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,DEL -> BLR,2026-04-20 23:37:41.703,41.0,False,VALID,ANOMALY,FK00010
