payment_id,booking_id,payment_method,amount,validation_status
PAY1007,B1043,UPI,8291.6,VALID
PAY1048,B1042,CARD,14402.39,VALID
PAY1050,B1012,CARD,4074.67,VALID
PAY1061,B1114,NETBANKING,8187.33,VALID
PAY1082,B1053,UPI,4621.1,VALID
PAY1112,B1046,UPI,13689.48,VALID
PAY1122,B1005,UPI,13378.9,VALID
PAY1135,B1051,CARD,10875.08,VALID
PAY1141,B1018,UPI,2588.63,VALID
PAY1162,B1019,UPI,14810.27,VALID
PAY1170,B1057,UPI,1987.07,VALID
PAY1171,B1092,UPI,9120.54,VALID
PAY1183,B1087,NETBANKING,1154.4,VALID
PAY1185,B1013,UPI,1176.33,VALID
PAY1189,B1033,CARD,9352.83,VALID
PAY1198,B1077,NETBANKING,2981.73,VALID
PAY1206,B1006,NETBANKING,14980.37,VALID
PAY1214,B1069,UPI,14992.95,VALID
PAY1217,B1103,NETBANKING,10750.13,VALID
PAY1219,B1053,CARD,3081.42,VALID
PAY1225,B1044,UPI,1199.88,VALID
PAY1235,B1026,NETBANKING,2015.66,VALID
PAY1268,B1031,CARD,7056.42,VALID
PAY1271,B1036,CARD,5144.89,VALID
PAY1274,B1012,CARD,12647.86,VALID
PAY1278,B1087,UPI,2037.52,VALID
PAY1281,B1045,NETBANKING,2330.65,VALID
PAY1296,B1045,UPI,4401.56,VALID
PAY1305,B1002,UPI,6087.22,VALID
PAY1306,B1027,UPI,7503.17,VALID
PAY1336,B1096,NETBANKING,9995.45,VALID
PAY1339,B1015,CARD,12008.1,VALID
PAY1367,B1020,NETBANKING,8150.35,VALID
PAY1381,B1077,CARD,8279.97,VALID
PAY1398,B1103,NETBANKING,3312.42,VALID
PAY1400,B1094,CARD,6923.06,VALID
PAY1407,B1012,CARD,6979.86,VALID
PAY1412,B1094,CARD,10637.23,VALID
PAY1415,B1024,UPI,4857.79,VALID
PAY1421,B1086,UPI,3704.21,VALID
PAY1441,B1039,CARD,6604.98,VALID
PAY1455,B1021,UPI,6949.93,VALID
PAY1457,B1039,UPI,8185.34,VALID
PAY1467,B1083,NETBANKING,6777.38,VALID
PAY1523,B1076,CARD,8247.5,VALID
PAY1537,B1011,CARD,2115.18,VALID
PAY1566,B1057,CARD,10224.13,VALID
PAY1571,B1060,UPI,11681.98,VALID
PAY1577,B1016,CARD,14076.51,VALID
PAY1584,B1068,NETBANKING,5274.94,VALID
PAY1606,B1050,NETBANKING,13350.33,VALID
PAY1610,B1086,UPI,1169.75,VALID
PAY1611,B1067,UPI,4488.44,VALID
PAY1614,B1041,UPI,13829.91,VALID
PAY1616,B1056,NETBANKING,3173.87,VALID
PAY1621,B1061,CARD,12021.5,VALID
PAY1628,B1025,CARD,9721.62,VALID
PAY1640,B1080,UPI,6604.5,VALID
PAY1658,B1025,UPI,11899.89,VALID
PAY1663,B1025,CARD,14501.45,VALID
PAY1676,B1080,CARD,14564.92,VALID
PAY1688,B1052,CARD,9827.3,VALID
PAY1694,B1015,CARD,7601.56,VALID
PAY1738,B1004,UPI,12222.48,VALID
PAY1745,B1123,UPI,6074.04,VALID
PAY1786,B1092,CARD,5439.03,VALID
PAY1796,B1061,CARD,6835.68,VALID
PAY1824,B1016,NETBANKING,9724.26,VALID
PAY1825,B1067,UPI,7570.06,VALID
PAY1834,B1096,UPI,8168.44,VALID
PAY1841,B1026,UPI,11188.7,VALID
PAY1844,B1059,UPI,10839.07,VALID
PAY1871,B1067,NETBANKING,5374.84,VALID
PAY1880,B1123,NETBANKING,8451.44,VALID
PAY1889,B1039,CARD,9866.37,VALID
PAY1893,B1092,NETBANKING,1339.36,VALID
PAY1894,B1041,NETBANKING,9750.27,VALID
PAY1899,B1064,UPI,14413.72,VALID
PAY1905,B1023,CARD,13057.27,VALID
PAY1907,B1061,NETBANKING,12722.62,VALID
PAY1911,B1019,CARD,3810.73,VALID
PAY1912,B1002,NETBANKING,2505.86,VALID
PAY1930,B1033,UPI,7723.56,VALID
PAY1940,B1088,UPI,7375.1,VALID
PAY1942,B1046,UPI,12592.83,VALID
PAY1976,B1085,NETBANKING,11410.8,VALID
