route_key,source,destination,route
RT001,BLR,BOM,BLR -> BOM
RT002,BLR,CCU,BLR -> CCU
RT003,BLR,MAA,BLR -> MAA
RT004,BOM,BLR,BOM -> BLR
RT005,BOM,CCU,BOM -> CCU
RT006,BOM,DEL,BOM -> DEL
RT007,BOM,HYD,BOM -> HYD
RT008,BOM,MAA,BOM -> MAA
RT009,CCU,BLR,CCU -> BLR
RT010,CCU,DEL,CCU -> DEL
RT011,CCU,HYD,CCU -> HYD
RT012,CCU,MAA,CCU -> MAA
RT013,DEL,BLR,DEL -> BLR
RT014,DEL,BOM,DEL -> BOM
RT015,DEL,CCU,DEL -> CCU
RT016,DEL,HYD,DEL -> HYD
RT017,DEL,MAA,DEL -> MAA
RT018,HYD,BLR,HYD -> BLR
RT019,HYD,BOM,HYD -> BOM
RT020,HYD,CCU,HYD -> CCU
RT021,HYD,DEL,HYD -> DEL
RT022,HYD,MAA,HYD -> MAA
RT023,MAA,BLR,MAA -> BLR
RT024,MAA,BOM,MAA -> BOM
RT025,MAA,CCU,MAA -> CCU
RT026,MAA,DEL,MAA -> DEL
RT027,MAA,HYD,MAA -> HYD
