flight_id,airline,source,destination,departure_time,arrival_time,duration,row_ref,reason_codes,hard_reasons,is_valid,validation_status,airline_quality_flag,route,arrival_time_adjusted,duration_minutes,is_overnight,duration_status,anomaly_flag,flight_key,airline_key,route_key,date_key
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,0,[],[],True,VALID,OK,CCU -> MAA,2026-04-21 02:32:41.701,174.0,True,VALID,NORMAL,FK00001,AL003,RT012,20260420
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,1,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 01:23:41.703,108.0,True,VALID,NORMAL,FK00002,AL001,RT005,20260420
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,2,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 01:11:41.702,105.0,True,VALID,NORMAL,FK00003,AL005,RT005,20260420
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,3,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 01:43:41.704,156.0,True,VALID,NORMAL,FK00004,AL001,RT005,20260420
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,4,[],[],True,VALID,OK,MAA -> BOM,2026-04-21 04:04:41.703,299.0,True,VALID,NORMAL,FK00005,AL001,RT024,20260420
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,5,[],[],True,VALID,OK,DEL -> HYD,2026-04-21 01:24:41.703,139.0,True,VALID,NORMAL,FK00006,AL003,RT016,20260420
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,6,[],[],True,VALID,OK,CCU -> MAA,2026-04-21 00:47:41.703,103.0,True,VALID,NORMAL,FK00007,AL002,RT012,20260420
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,7,[],[],True,VALID,OK,BOM -> HYD,2026-04-21 00:35:41.702,92.0,True,VALID,NORMAL,FK00008,AL001,RT007,20260420
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,8,[],[],True,VALID,OK,BLR -> BOM,2026-04-20 23:57:41.701,55.0,False,VALID,NORMAL,FK00009,AL002,RT001,20260420
6F251,Unknown,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,9,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,DEL -> BLR,2026-04-20 23:37:41.703,41.0,False,VALID,ANOMALY,FK00010,AL004,RT013,20260420
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,10,[],[],True,VALID,OK,BOM -> DEL,2026-04-21 01:17:41.702,148.0,True,VALID,NORMAL,FK00011,AL001,RT006,20260420
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,11,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 03:13:42.000,267.0,True,VALID,NORMAL,FK00012,AL002,RT005,20260420
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,12,[],[],True,VALID,OK,DEL -> MAA,2026-04-21 01:46:41.703,181.0,True,VALID,NORMAL,FK00013,AL005,RT017,20260420
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,13,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 01:05:41.701,141.0,True,VALID,NORMAL,FK00014,AL005,RT005,20260420
AI069,Unknown,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,14,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,DEL -> BOM,2026-04-21 02:29:41.702,226.0,True,VALID,ANOMALY,FK00015,AL004,RT014,20260420
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,15,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 00:18:41.701,98.0,True,VALID,NORMAL,FK00016,AL001,RT005,20260420
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,16,[],[],True,VALID,OK,BOM -> DEL,2026-04-21 02:08:41.702,223.0,True,VALID,NORMAL,FK00017,AL001,RT006,20260420
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,17,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 00:10:41.704,106.0,True,VALID,NORMAL,FK00018,AL003,RT005,20260420
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,18,[],[],True,VALID,OK,MAA -> DEL,2026-04-20 22:59:41.702,35.0,False,VALID,NORMAL,FK00019,AL002,RT026,20260420
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,19,[],[],True,VALID,OK,CCU -> DEL,2026-04-21 02:15:41.701,232.0,True,VALID,NORMAL,FK00020,AL001,RT010,20260420
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,20,[],[],True,VALID,OK,HYD -> DEL,2026-04-21 00:40:41.702,140.0,True,VALID,NORMAL,FK00021,AL003,RT021,20260420
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,21,[],[],True,VALID,OK,BLR -> BOM,2026-04-21 00:45:41.703,147.0,True,VALID,NORMAL,FK00022,AL002,RT001,20260420
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,22,[],[],True,VALID,OK,HYD -> MAA,2026-04-20 23:50:41.701,110.0,False,VALID,NORMAL,FK00023,AL005,RT022,20260420
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,23,[],[],True,VALID,OK,CCU -> DEL,2026-04-21 01:14:41.703,196.0,True,VALID,NORMAL,FK00024,AL003,RT010,20260420
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,24,[],[],True,VALID,OK,DEL -> HYD,2026-04-20 23:51:41.701,113.0,False,VALID,NORMAL,FK00025,AL001,RT016,20260420
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,25,[],[],True,VALID,OK,HYD -> CCU,2026-04-20 23:00:41.703,64.0,False,VALID,NORMAL,FK00026,AL003,RT020,20260420
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,26,[],[],True,VALID,OK,BLR -> BOM,2026-04-20 23:01:41.702,66.0,False,VALID,NORMAL,FK00027,AL003,RT001,20260420
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,27,[],[],True,VALID,OK,CCU -> DEL,2026-04-20 22:39:41.703,55.0,False,VALID,NORMAL,FK00028,AL002,RT010,20260420
UK003,Unknown,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,04:38:00,28,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,HYD -> DEL,2026-04-21 02:19:41.700,278.0,True,VALID,ANOMALY,FK00029,AL004,RT021,20260420
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,02:06:00,29,[],[],True,VALID,OK,HYD -> MAA,2026-04-20 23:44:41.701,126.0,False,VALID,NORMAL,FK00030,AL005,RT022,20260420
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,00:40:00,30,[],[],True,VALID,OK,DEL -> HYD,2026-04-20 22:16:41.703,40.0,False,VALID,NORMAL,FK00031,AL002,RT016,20260420
