payment_id,booking_id,amount,payment_method
PAY1007,B1043,8291.6,UPI
PAY1033,B1012,INVALID,CARD
PAY1048,B1042,14402.39,CARD
PAY1050,B1012,4074.67,CARD
PAY1061,B1114,8187.33,NETBANKING
PAY1082,B1053,4621.1,UPI
PAY1112,B1046,13689.48,UPI
PAY1122,B1005,13378.9,UPI
PAY1135,B1051,10875.08,CARD
PAY1141,B1018,2588.63,UPI
PAY1162,B1019,14810.27,UPI
PAY1170,B1057,1987.07,UPI
PAY1171,B1092,9120.54,UPI
PAY1183,B1087,1154.4,NETBANKING
PAY1184,B1019,,UPI
PAY1185,B1013,1176.33,UPI
PAY1189,B1033,9352.83,CARD
PAY1198,B1077,2981.73,NETBANKING
PAY1206,B1006,14980.37,NETBANKING
PAY1214,B1069,14992.95,UPI
PAY1217,B1103,10750.13,NETBANKING
PAY1219,B1053,3081.42,CARD
PAY1225,B1044,1199.88,UPI
PAY1235,B1026,2015.66,NETBANKING
PAY1268,B1031,7056.42,CARD
PAY1271,B1036,5144.89,CARD
PAY1274,B1012,12647.86,CARD
PAY1278,B1087,2037.52,UPI
PAY1281,B1045,2330.65,NETBANKING
PAY1283,B1118,,NETBANKING
PAY1296,B1045,4401.56,UPI
PAY1305,B1002,6087.22,UPI
PAY1306,B1027,7503.17,UPI
PAY1336,B1096,9995.45,NETBANKING
PAY1339,B1015,12008.1,CARD
PAY1367,B1020,8150.35,NETBANKING
PAY1381,B1077,8279.97,CARD
PAY1398,B1103,3312.42,NETBANKING
PAY1400,B1094,6923.06,CARD
PAY1407,B1012,6979.86,CARD
PAY1412,B1094,10637.23,CARD
PAY1415,B1024,4857.79,UPI
PAY1421,B1086,3704.21,UPI
PAY1441,B1039,6604.98,CARD
PAY1455,B1021,6949.93,UPI
PAY1457,B1039,8185.34,UPI
PAY1467,B1083,6777.38,NETBANKING
PAY1523,B1076,8247.5,CARD
PAY1534,B1010,INVALID,NETBANKING
PAY1537,B1011,2115.18,CARD
PAY1566,B1057,10224.13,CARD
PAY1571,B1060,11681.98,UPI
PAY1577,B1016,14076.51,CARD
PAY1584,B1068,5274.94,NETBANKING
PAY1606,B1050,13350.33,NETBANKING
PAY1610,B1086,1169.75,UPI
PAY1611,B1067,4488.44,UPI
PAY1614,B1041,13829.91,UPI
PAY1616,B1056,3173.87,NETBANKING
PAY1621,B1061,12021.5,CARD
PAY1628,B1025,9721.62,CARD
PAY1640,B1080,6604.5,UPI
PAY1658,B1025,11899.89,UPI
PAY1663,B1025,14501.45,CARD
PAY1664,B1033,,UPI
PAY1676,B1080,14564.92,CARD
PAY1683,B1045,INVALID,NETBANKING
PAY1688,B1052,9827.3,CARD
PAY1694,B1015,7601.56,CARD
PAY1738,B1004,12222.48,UPI
PAY1745,B1123,6074.04,UPI
PAY1757,B1056,,CARD
PAY1786,B1092,5439.03,CARD
PAY1796,B1061,6835.68,CARD
PAY1824,B1016,9724.26,NETBANKING
PAY1825,B1067,7570.06,UPI
PAY1834,B1096,8168.44,UPI
PAY1841,B1026,11188.7,UPI
PAY1844,B1059,10839.07,UPI
PAY1871,B1067,5374.84,NETBANKING
PAY1880,B1123,8451.44,NETBANKING
PAY1889,B1039,9866.37,CARD
PAY1893,B1092,1339.36,NETBANKING
PAY1894,B1041,9750.27,NETBANKING
PAY1897,B1106,INVALID,UPI
PAY1899,B1064,14413.72,UPI
PAY1905,B1023,13057.27,CARD
PAY1907,B1061,12722.62,NETBANKING
PAY1911,B1019,3810.73,CARD
PAY1912,B1002,2505.86,NETBANKING
PAY1930,B1033,7723.56,UPI
PAY1940,B1088,7375.1,UPI
PAY1942,B1046,12592.83,UPI
PAY1976,B1085,11410.8,NETBANKING
